Source;Target;Weight
Péchoin, Daniel;Schuwer, Philippe;3
Chassagne, Annie;la collaboration de Claire Bustarret, avec;3
Gilain, Christian;la collaboration de Claire Bustarret, avec;3
Chassagne, Annie;Gilain, Christian;3
Dion, Robert;Gouaffo, Albert;3
Dion, Robert;Vatter, Christoph;3
Fendler, Ute;Gouaffo, Albert;3
Bouchet, Thomas;Riot-Sarcey, Michèle;3
Matthews-Schlinzig, Marie Isabel;Socha, Caroline;3
Lejeune, Philippe;Montémont, Véronique;3
Fendler, Ute;Vatter, Christoph;3
Jeannelle, Jean-Louis;Montémont, Véronique;3
Santos, Idelette Muzart-Fonseca dos;de Queiros Mattoso, Katia;3
Frantz, Pierre;Marchand, Sophie;3
Caulier, Brigitte;Courtois, Luc;3
Brooks, William;Zaiser, Rainer;3
Dagen, Jean;François-Giappiconi, Catherine;3
Delumeau, Jean;Roche, Daniel;3
Fournier, Pierre;Garzon, Sabrina Juillet;3
Bonnier, Xavier;Laigneau-Fontaine, Sylvie;3
Bourillon, Florence;Jaquand, Corinne;3
François-Giappiconi, Catherine;Marchand, Sophie;3
Imbert, Christophe;Noacco, Cristina;3
Dagen, Jean;Marchand, Sophie;3
Fiasson, Aranaud;Garzon, Sabrina Juillet;3
Crignon, Philippe;Miqueu, Christophe;3
Fiasson, Aranaud;Fournier, Pierre;3
Glaudes, Pierre;Louette, Jean-François;3
Charnley, Joy;Pender, Malcolm;3
Charon, Annie;Parinet, Élisabeth;3
Curatolo, Bruno;Poirier, Jacques;3
Goldberger, Avriel;Szmurlo, Karyna;3
Gutwirth, Madelyn;Szmurlo, Karyna;3
Hammond, Nicholas;Moriarty, Michael;3
Hutin, Séverine;Siess, Jürgen;3
Chométy, Philippe;Rosellini, Michèle;3
Hayward, Annette;Whitfield, Agnès;3
Holzhey, H.;Rohbeck, J.;3
Cavallo, Guglielmo;Chartier, Roger;3
Cazals, Rémy;Vovelle, Michel;3
Caucanas, Sylvie;Vovelle, Michel;3
Marimoutou, Jean-Claude Carpanin;Racault, Jean-Michel;3
Caucanas, Sylvie;Cazals, Rémy;3
Gröne, Maximilian;von Kulessa, Rotraud;3
Goldie, Mark;Wolker, Robert;3
Alexandre, Didier;Roe, Glenn;3
Goulemot, Jean M.;Masseau, Didier;3
Dauphin, Cécile;Farge, Arlette;3
Nauroy, Gérard;Spica, Anne;3
Halen, Pierre;Nauroy, Gérard;3
Marchand, S.;Schweitzer, Z.;3
Lecercle, F.;Schweitzer, Z.;3
Lecercle, F.;Marchand, S.;3
Backouche, Isabelle;Theis, Valérie;3
Backouche, Isabelle;Vadelorge, Loïc;3
Lyon-Caen, Nicolas;Theis, Valérie;3
Jakubowska, J.;Ucherek, W.;3
Boissiéras, Fabienne;Servet, Marie-Hélène;3
Candaux, Jean-Daniel;Deuber-Pauli, Erica;3
Bödeker, Hans Erich;Steinbrügge, Lieselotte;3
Seth, Catriona;Von Kulessa, Rotraud;3
Goldsmith, Elizabeth C.;Winn, Colette H.;3
Rauch, André;Tsikounas, Myriam;3
Duby, Georges;Perrot, Michelle;3
Seguin, Maria Susana;Sellier, Philippe;3
Lyon-Caen, Nicolas;Vadelorge, Loïc;3
Menant, Sylvain;Seguin, Maria Susana;3
Guion, Béatrice;Sellier, Philippe;3
Guion, Béatrice;Menant, Sylvain;3
Guion, Béatrice;Seguin, Maria Susana;3
Meure, Chantale;Racault, Jean-Michel;3
Gigan, Angélique;Racault, Jean-Michel;3
Gigan, Angélique;Meure, Chantale;3
Caldicott, Edric;Fuchs, Anne;3
Menant, Sylvain;Sellier, Philippe;3
Chartier, Roger;Lüsebrink, Hans-Jürgen;3
Hunkeler, Thomas;Jeanneret, Sylvie;3
Montel, Nathalie;Theis, Valérie;3
Montel, Nathalie;Vadelorge, Loïc;3
Theis, Valérie;Vadelorge, Loïc;3
Theis, Valérie;Vorms, Charlotte;3
Vadelorge, Loïc;Vorms, Charlotte;3
Cellier, Marine;Damerdji, Amina;3
Cellier, Marine;Lloret, Sylvain;3
Damerdji, Amina;Lloret, Sylvain;3
Douzou, Catherine;Greiner, Frank;3
Goldberger, Avriel;Gutwirth, Madelyn;3
Denis, Delphine;Marcoin, Francis;3
Deluermoz, Quentin;Glinoer, Anthony;3
Boch, Julie;Haquette, Jean-Louis;3
Gevrey, Françoise;Haquette, Jean-Louis;3
Boch, Julie;Gevrey, Françoise;3
Grell, Chantal;Volpilhac-Auger, Catherine;3
Soudy-Quazuguel, Laura;Torrent, Céline;3
Krief, Huguette;Pascal, Jean-Noël;3
Lestringant, Frank;Néraudau, Bertrand;3
Lestringant, Frank;Ternaux, Jean-Claude;3
Néraudau, Bertrand;Porte, Danielle;3
Néraudau, Bertrand;Ternaux, Jean-Claude;3
Brenner, Anastasios;Pérez-Jean, Brigitte;3
Porte, Danielle;Ternaux, Jean-Claude;3
Darmon, Jean-Charles;Desan, Philippe;3
Aron, Paul;Saint-Jacques, Denis;3
Perras, Jean-Alexandre;Wicky, Érika;3
Biard, Michel;Frétigné, Jean-Yves;3
Ducange, Jean-Numa;Frétigné, Jean-Yves;3
Hazan, P.;Imperiali, C.;3
Fowler, James;Weller, Shane;3
Létoublon, Françoise;Volpilhac-Auger, Catherine;3
Baldwin, Thomas;Fowler, James;3
Stroev, Alexandre;Thiéry, Robert;3
L’Aminot, Tanguy;Thiéry, Robert;3
Montémont, Véronique;Simonet-Tenant, Françoise;3
L’Aminot, Tanguy;Stroev, Alexandre;3
Pomeau, René;Thiéry, Robert;3
Blanckaert, Claude;Rey, Roselyne;3
Pomeau, René;Stroev, Alexandre;3
L’Aminot, Tanguy;Pomeau, René;3
Ducimetière, N.;Imperiali, C.;3
Beaulieu, Jean-Philippe;Desrosiers-Bonin, Diane;3
Valentin, Jean-Marie;Voss, Jürgen;3
Lestringant, Frank;Porte, Danielle;3
Coelsch-Foisner, Sabine;Klein, Holger;3
Gipper, Andreas;Lotterie, Florence;3
Alexandre-Bergues, Pascale;Guérin, Jeanyves;3
Bernier, Marc André;Lüsebrink, Hans-Jürgen;3
Kloocke, Kurt;la collaboration de Simone Balayé, avec;3
Bernier, Marc André;Donato, Clorinda;3
Bosquet, Marie-Françoise;Racault, Jean-Michel;3
Fickert, en collaboration avec Jan;Weyers, Bianca;3
Bourquin, Laurent;Hamon, Philippe;3
Hartmann, Pierre;Lotterie, Florence;3
Leborgne, Érik;Sermain, Jean-Paul;3
Mix, York-Gothart;Weyers, Bianca;3
Bost, Hubert;Lauriol, Claude;3
Fickert, en collaboration avec Jan;Mix, York-Gothart;3
Cottenet-Hage, Madeleine;Makward, Christiabe;3
Jérémie, Christian;Louison-Lassablière, Marie-Joëlle;3
Daumalin, Xavier;Raveux, Olivier;3
Komur-Thilloy, Greta;Réach-Ngô, Anne;3
Lüsebrink, Hans-Jürgen;Weyers, Bianca;3
Volpilhac-Auger, Catherine;la collaboration de Daniel Sangsue, avec;3
Dumas, Catherine;Gaullier-Bougassas, Catherine;3
Fickert, en collaboration avec Jan;Lüsebrink, Hans-Jürgen;3
Haine, W. Scott;Rittner, Leona;3
Planté, Christine;Vaillant, Alain;3
Jackson, Jeffrey H.;Rittner, Leona;3
Haine, W. Scott;Jackson, Jeffrey H.;3
Bonnecase, Denis;Genton, François;3
Heyraud, Violaine;Martinez, Ariane;3
Melzer, Sara E.;Rabine, Leslie W.;3
Baldwin, Thomas;Weller, Shane;3
Denis, Gilles;Lotterie, Florence;3
Berchtold, J.;Hazan, P.;3
Cumby, Jamie;Lamal, Nina;3
Melzer, Sara E.;Norberg, Kathryn;3
Helmers, Helmer J.;Lamal, Nina;3
Caudal, Yann;Masson, Nicole;3
Berchtold, J.;Ducimetière, N.;3
Chauvaud, Frédéric;Soria, Myriam;3
Mounier-Vehier, Caroline;Torrent, Céline;3
Bodiou, Lydie;Soria, Myriam;3
Cumby, Jamie;Helmers, Helmer J.;3
Bodiou, Lydie;Chauvaud, Frédéric;3
Descamps, Olivier;Prévost, Xavier;3
Dauchy, Serge;Prévost, Xavier;3
Dauchy, Serge;Descamps, Olivier;3
Brunori, Luisa;Prévost, Xavier;3
Blanckaert, Claude;Fischer, Jean-Louis;3
Brunori, Luisa;Descamps, Olivier;3
Brunori, Luisa;Dauchy, Serge;3
Siess, Jürgen;Valency, Gisèle;3
Aron, Paul;Viala, Alain;3
Lavocat, Françoise;la collaboration de Guiomar Hautcœur, avec;3
Saint-Jacques, Denis;Viala, Alain;3
Lombez, Christine;von Kulessa, Rotraud;3
Domingues, Lidia Luisa Zanetti;Nagy, Piroska;3
Boquet, Damien;Domingues, Lidia Luisa Zanetti;3
Boquet, Damien;Nagy, Piroska;3
Dubus, Pascale;Fiorato, Corinne Lucas;3
Létoublon, Françoise;la collaboration de Daniel Sangsue, avec;3
Balcou, Jean;Barthélemy, Sophie;3
Dubost, Jean-Pierre;Sasson, Sarah Juliette;3
Ducimetière, N.;Hazan, P.;3
Andries, Lise;Gipper, Andreas;3
Augustyn, Joanna;Dubost, Jean-Pierre;3
Cléren, Marie;Mounier-Vehier, Caroline;3
Andries, Lise;Lotterie, Florence;3
Andries, Lise;Denis, Gilles;3
Martens, David;Watthee-Delmotte, Myriam;3
Balcou, Jean;Cariou, André;3
Mondot, Jean;Valentin, Jean-Marie;3
Baratin, Marc;Jacob, Christian;3
Ortolani, Marc;Vernier, Olivier;3
Mondot, Jean;Voss, Jürgen;3
Cléren, Marie;Torrent, Céline;3
Mounier-Vehier, Caroline;Soudy-Quazuguel, Laura;3
Cléren, Marie;Soudy-Quazuguel, Laura;3
Barthélemy, Sophie;Cariou, André;3
Denis, Gilles;Gipper, Andreas;3
Berchtold, J.;Imperiali, C.;3
Augustyn, Joanna;Sasson, Sarah Juliette;3
Ferretti, Victor Andrés;Meier, Albert;2
Massé, Stéphanie;Plourde, Andrée-Anne;2
Ferretti, Victor Andrés;Fülberth, Andreas;2
Fülberth, Andreas;Meier, Albert;2
Cossy, Valérie;Kapossy, Béla;2
Cossy, Valérie;Whatmore, Richard;2
Dion, Nicholas;Plourde, Andrée-Anne;2
McKenna, Antony;Mothu, Alain;2
Choinière, Paul;Lafrance, Geneviève;2
Brissette, Pascal;Lafrance, Geneviève;2
Pâquet, Martin;Savard, Stéphane;2
Artigas-Menant, Geneviève;Couprie, Alain;2
Baudot, Alain;Boldt-Irons, Leslie;2
Abramovici, Jean-Christophe;Jiménez, D.;2
Baudot, Alain;Beckett, Sandra;2
Berkvens-Stevelinck, Christiane;Haeseler, Jens;2
Arnaud, Sabine;Jordheim, Helge;2
Duclert, Vincent;Prochasson, Christophe;2
Berger, Günter;Sick, Franziska;2
Berghahn, Cord-Friedrich;Lifschitz, Avi;2
Ferretti, Giuliano;Roudaut, François;2
Dupouy, Jean-Pierre;Ferretti, Giuliano;2
Berghahn, Cord-Friedrich;Wiedemann, Conrad;2
Lifschitz, Avi;Wiedemann, Conrad;2
Lavezzi, Élisabeth;Martin, Christophe;2
Thérenty, Marie-Ève;Tran, Trung;2
Berchtold, Jacques;Lavezzi, Élisabeth;2
Dupouy, Jean-Pierre;Roudaut, François;2
Bots, Hans;Haeseler, Jens;2
Bustarret, Claire;Viollet, Catherine;2
Beckett, Sandra;Boldt-Irons, Leslie;2
Desprès, Catherine;Gómez, María Teresa Ramos;2
Pascal, Catherine;Thérenty, Marie-Ève;2
Pascal, Catherine;Tran, Trung;2
Berkvens-Stevelinck, Christiane;Bots, Hans;2
Freeman, E.;Hemmings, T.D.;2
Brissette, Pascal;Choinière, Paul;2
Biard, Michel;Tourret, Alain;2
Gies, David;Wall, Cynthia;2
Kaplan, S.L.;Koepp, C.;2
Delâge, Denys;Turgeon, Laurier;2
Ouellet, Réal;Turgeon, Laurier;2
Leuwers, Hervé;Tourret, Alain;2
Bourdin, Philippe;Tourret, Alain;2
Cogitore, Isabelle;Goyet, Francis;2
Davison, Claire;Vanfasse, Nathalie;2
Delâge, Denys;Ouellet, Réal;2
Patey, Caroline;Vanfasse, Nathalie;2
Laurent, Béatrice;Vanfasse, Nathalie;2
Laurent, Béatrice;Patey, Caroline;2
Milon, Alain;Perelman, Marc;2
Antoine-Mahut, Delphine;Lézé, Samuel;2
Herman, Bernard L.;Maudlin, Daniel;2
Fétro, Sophie;Ritz-Guilbert, Anne;2
Dumont, Paul;Hildebrand, Rémy;2
Gnocchi, Maria Chiara;Imbroscio, Carmelina;2
Hyde, Melissa;Ledbury, Mark;2
Dubel, Sandrine;Montandon, Alain;2
Hurel, Daniel-Odon;Laudin, Gérard;2
Duranton, Henri;Labrosse, Claude;2
Labrosse, Claude;Rétat, Pierre;2
Blanckaert, Claude;Blondiaux, Loïc;2
Blanckaert, Claude;Loty, Laurent;2
Blanckaert, Claude;Renneville, Marc;2
Guyot, Alain;Massol, Chantal;2
Blanckaert, Claude;Richard, Nathalie;2
Blondiaux, Loïc;Loty, Laurent;2
Blondiaux, Loïc;Renneville, Marc;2
Blondiaux, Loïc;Richard, Nathalie;2
Colbus, Jean-Claude;Hébert, Brigitte;2
Davison, Claire;Patey, Caroline;2
Lafrance, Geneviève;Przychodzen, Janusz;2
Lassauzet, Benjamin;Montandon, Alain;2
Füg-Pierreville, Corinne;Lavorel, Guy;2
Lachet, Claude;Lavorel, Guy;2
Dufresne, Virginie;Langlois, Geneviève;2
Ottway, Sheila;van Dijk, Suzan;2
Lobrano, Giovanni;Onida, Pietro Paolo;2
Bertaud, Madeleine;Labertit, André;2
Przychodzen, Janusz;Segura, Mauricio;2
Davison, Claire;Laurent, Béatrice;2
Brissette, Pascal;Segura, Mauricio;2
Choinière, Paul;Segura, Mauricio;2
Lafrance, Geneviève;Segura, Mauricio;2
Brissette, Pascal;Przychodzen, Janusz;2
Basker, James G.;Ribeiro, Alvaro;2
Choinière, Paul;Przychodzen, Janusz;2
Ambrus, Gauthier;Grosrichard, Alain;2
Moser-Verrey, Monique;van Strien-Chardonneau, Madeleine;2
Bertrand, Gilles;Guyot, Alain;2
Bertrand, Gilles;Serna, Pierre;2
Bertrand, Gilles;Brice, Catherine;2
Grenier, Benoît;Morissette, Michel;2
Guérout, Jeanne;Jeanneney, Jean-Noël;2
Cossy, Valérie;van Strien-Chardonneau, Madeleine;2
Cossy, Valérie;Moser-Verrey, Monique;2
Füg-Pierreville, Corinne;Lachet, Claude;2
Côté, Sébastien;Frantz, Pierre;2
Rees, Joachim;Siebers, Winfried;2
Kroll, Renate;Zimmermann, Margarete;2
Reggiani, Christelle;Stolz, Claire;2
Van Dijk, Suzan;van Strien-Chardonneau, Madeleine;2
O’Quinn, Daniel;Tadié, Alexis;2
Koźluk, Magdalena;Pietrzak, Witold Konstanty;2
Mehl, Édouard;Trottmann, Christian;2
Lecoquierre, Bruno;Wauters, Éric;2
Côté, Sébastien;Marchand, Sophie;2
Leonhard, Jörn;Reichardt, Rolf;2
Magnan, André;Masseau, Didier;2
Dupuis, Gilles;Klucinskas, Jean;2
Goulemot, Jean M.;Magnan, André;2
Martel, Jacinthe;Melançon, Robert;2
Dion, Sylvie;Hanciau, Nubia;2
Lucken, Christopher;Rigoli, Juan;2
Bélanger, Alain;Dion, Sylvie;2
Bélanger, Alain;Hanciau, Nubia;2
Ferran, Florence;Gambelli, Delia;2
Ferran, Florence;Mariotti, Flavia;2
Gambelli, Delia;Mariotti, Flavia;2
Lioce, Nico;Swiggers, Pierre;2
Cormier, Monique C.;Francœur, Aline;2
Sartori, Eva Martin;Zimmerman, Dorothy Wynne;2
Fournier-Plamondon, Anne-Sophie;Massé, Stéphanie;2
Dion, Nicholas;Fournier-Plamondon, Anne-Sophie;2
Lesueur, Boris;Rogers, Dominique;2
Dupuis, Gilles;Vallée, Jean-François;2
Mendel, Arthur;Wolff, Christoph;2
Davis, Hans T.;Wolff, Christoph;2
Kroeze, Ronald;Vitória, André;2
Bartha-Kovács, Katalin;Szás, Géza;2
Bartha-Kovács, Katalin;Penke, Olga;2
Sargent, Lyman Tower;Schaer, Roland;2
Espagne, Michel;Michael, Werner;2
Krief, Huguette;Requemora, Sylvie;2
Geltner, Guy;Vitória, André;2
Geltner, Guy;Kroeze, Ronald;2
Barras, Vincent;Louis-Courvoisier, Micheline;2
Davis, Hans T.;Mendel, Arthur;2
Kleiman-Lafon, Sylvie;Vasset, Sophie;2
Barr, Rebecca Anne;Vasset, Sophie;2
Barr, Rebecca Anne;Kleiman-Lafon, Sylvie;2
Revill, George;Wrigley, Richard;2
Davis, Natalie Zemon;Farge, Arlette;2
Hugueny-Léger, Élise;Verdier, Caroline;2
Klucinskas, Jean;Vallée, Jean-François;2
Nabonnand, Philippe;Rollet, Laurent;2
Destrempes, Hélène;Morency, Jean;2
Grenouillet, Corinne;Reverzy, Éléonore;2
Leonhard, Jörn;Lüsebrink, Hans-Jürgen;2
Delon, Michel;d’Oria, Michèle Sajous;2
Despierres, Claire;Krazem, Mustapha;2
Desmette, Philippe;Martin, Philippe;2
Demarcq, Marie-Pierre;de Préneuf, Jean;2
Demarcq, Marie-Pierre;de Sivry, Sophie;2
de Préneuf, Jean;de Sivry, Sophie;2
Fernandez, Maria Jesús;Leal, Maria Luisa;2
Benito, Ana Belen Garcia;Leal, Maria Luisa;2
Fröhlicher, Peter;Zöllner, Reto;2
Bähler, Ursula;Zöllner, Reto;2
Bähler, Ursula;Fröhlicher, Peter;2
Benito, Ana Belen Garcia;Fernandez, Maria Jesús;2
Deschênes, Gaston;Vaugeois, Denis;2
Deneys-Tunney, Anne;Zarka, Yves Charles;2
Denis, Vincent;Milliot, Vincent;2
Larrère, Catherine;Volpilhac-Auger, Catherine;2
Laursen, John Christian;Paganini, Gianni;2
Balani, Donatella;Carpananetto, Dino;2
Balani, Donatella;Roggero, Marina;2
Carpananetto, Dino;Roggero, Marina;2
Le Borgne, Françoise;Montandon, Alain;2
Ferrier, Béatrice;de Peretti, Isabelle;2
Lemonnier-Delpy, Marie-Françoise;Viollet, Catherine;2
Rollet, Laurent;Schiavon, Martina;2
Calle-Gruber, Mireille;Fouque, Antoinette;2
Calle-Gruber, Mireille;Didier, Béatrice;2
Didier, Béatrice;Fouque, Antoinette;2
Rosset, François;Triaire, Dominique;2
Baridon, Michel;Jonard, Norbert;2
Balayre, Amélie;Bras, Claire Le;2
Santa, Àngels;Solé, Cristina;2
Auraix-Jonchière, Pascale;Bernard-Griffiths, Simone;2
Blanchard, Pascal;Lemaire, Sandrine;2
Delabastita, Dirk;d’Hulst, Lieven;2
Bras, Claire Le;Rousselot, Nathan;2
Delia, Luigi;Hoarau, Fabrice;2
Balayre, Amélie;Rousselot, Nathan;2
Penke, Olga;Szás, Géza;2
Chelebourg, Christian;Martens, David;2
Chelebourg, Christian;Watthee-Delmotte, Myriam;2
Bartolotti, Fabien;Daumalin, Xavier;2
Audidière, Sophie;Bourdin, Jean-Claude;2
Krampl, Ulrike;Retaillaud-Bajac, Emmanuelle;2
Beck, Robert;Retaillaud-Bajac, Emmanuelle;2
Cram, David;Linn, Andrew;2
Cram, David;Nowak, Elke;2
Linn, Andrew;Nowak, Elke;2
Beck, Robert;Krampl, Ulrike;2
Hunkeler, Thomas;Rizek, Martin;2
Kearns, James;Vaisse, Pierre;2
Bourdin, Philippe;Wolff, Charlotta;2
Beaurepaire, Pierre-Yves;Wolff, Charlotta;2
Beaurepaire, Pierre-Yves;Bourdin, Philippe;2
Rius, Rosa;Schiavo, Piero;2
Dessureault, Christian;Goy, Joseph;2
Curran, Jane V.;Schwarz, Hans-Günther;2
Mouchel, Christian;Nativel, Colette;2
Ebert, Juliane;Wodianka, Stephanie;2
Loty, Laurent;Richard, Nathalie;2
Aprile, Sylvie;Retaillaud-Bajac, Emmanuelle;2
Murphy, Kevin;O’Driscoll, Sally;2
Rieger, Dietmar;Vickermann-Ribémont, Gabriele;2
Benoit-Dusausoy, Annick;Fontaine, Guy;2
Lequan, Mai;Sosoe, Lukas;2
Lang, Dimitri;Lequan, Mai;2
Coudreuse, Anne;Simonet-Tenant, Françoise;2
Dubel, Sandrine;Rabau, Sophie;2
Grapotte, Sophie;Lang, Dimitri;2
Brunet, Manon;Gagnon, Serge;2
Droixhe, Daniel;Lemaire, Jacques Ch.;2
Parkin, John;Phillips, John;2
Nancy, Sarah;de Gasquet, Julia Gros;2
Naliwajek, Zbigniew;Zurowska, Joanna;2
Bellavitis, Anna;Micheletto, Beatrice Zucca;2
Courtney, Cecil;Mander, Jenny;2
Pryzchodniak, Zbigniew;Séginger, Gisèle;2
Cooper-Richet, Diana;Vicens-Pujol, Carlota;2
Belin, Olivier;Ferran, Florence;2
Beaulieu, Alain;Chaffray, Stéphanie;2
Payne, Christiana;Vaughan, William;2
Barbagli, Marzio;Kertzer, David I.;2
Knopper, Françoise;Ruiz, Alain;2
Minard, Philippe;Orain, Arnaud;2
D’Enfert, Renaud;Fonteneau, Virginie;2
D’Orgeix, Émilie;Meynen, Nicolas;2
Dood, Diane;Rousseau, Nicole;2
Bates, Christina;Rousseau, Nicole;2
Bates, Christina;Dood, Diane;2
Maral, Alexandre;Milovanovic, Nicolas;2
Barrovecchio, Anne-Sophie;Dagen, Jean;2
Klotz, Gérard;Minard, Philippe;2
Garapon, Jean;Zonza, Christian;2
Fauskevag, Svein-Eirik;Kolder, Trude;2
Brancher, Dominique;Burg, Gaëlle;2
Berjola, Giovanni;Brancher, Dominique;2
Berjola, Giovanni;Burg, Gaëlle;2
Buti, Gilbert;Raveux, Olivier;2
Bartolotti, Fabien;Raveux, Olivier;2
Klotz, Gérard;Orain, Arnaud;2
McKenna, en collaboration avec Antony;Rivara, Annie;2
Cropp, Glynnis M.;Watts, Noel R.;2
Cuillé, Tili Boon;Szmurlo, Karyna;2
Collins, Roger D.J.;Cropp, Glynnis M.;2
Cropp, Glynnis M.;Howe, K. R.;2
Collins, Roger D.J.;Watts, Noel R.;2
Howe, K. R.;Watts, Noel R.;2
Collins, Roger D.J.;Howe, K. R.;2
Cross, Maire F.;Williams, David;2
Csergo, Julia;Desbuissons, Frédérique;2
Kisluk-Grosheide, Daniëlle;Rondot, Bertrand;2
Granadas, Miguel A.;Rius, Rosa;2
Mosser, Monique;Teyssot, Georges;2
Haltzel, Michael H.;Klaits, Joseph;2
Klein, Boris;Martin, Philippe;2
Klein, Boris;Roman, Sébastien;2
Martin, Philippe;Roman, Sébastien;2
Baulez, Christian;Vignon, Charlotte;2
Granadas, Miguel A.;Schiavo, Piero;2
Loty, Laurent;Renneville, Marc;2
Jørgensen, Steen Bille;Rüth, Axel;2
Quettier, Philippe;Varnier, Éric;2
Foisy, Suzanne;Thérien, Claude;2
Capdevila, Luc;Sainclivier, Jacqueline;2
Cassagnes, Sophie;Cocaud, Martine;2
Eche, Antoine;Kremer, Nathalie;2
Cassagnes, Sophie;Sainclivier, Jacqueline;2
Cocaud, Martine;Sainclivier, Jacqueline;2
Desan, Philippe;Desormeaux, Daniel;2
Pioffet, Marie-Christine;la collaboration d’Andreas Motsch, avec;2
Fleming, Patricia Lockhart;Gallichan, Gilles;2
Capdevila, Luc;Cocaud, Martine;2
Fleming, Patricia Lockhart;Lamonde, Yvan;2
Pingué, Danièle;Rothiot, Jean-Paul;2
Heulot-Petit, Françoise;Michel, Lise;2
Giron-Panel, Caroline;Yon, Jean-Claude;2
Serre, Solveig;Yon, Jean-Claude;2
Bjørnstad, Hall;Jordheim, Helge;2
Moureau, François;Varnier, Éric;2
Duquaire, Alexandre;Eche, Antoine;2
Capdevila, Luc;Cassagnes, Sophie;2
Alexandre, Philippe;Schillinger, Jean;2
Duquaire, Alexandre;Kremer, Nathalie;2
Candaux, Jean-Daniel;Donato, Clorinda;2
Candaux, Jean-Daniel;Häseler, Jens;2
Cernuschi, Alain;Donato, Clorinda;2
Cernuschi, Alain;Häseler, Jens;2
Donato, Clorinda;Häseler, Jens;2
Carnier, Marc;Meijns, Brigitte;2
Greilich, Susanne;Mollier, Jean-Yves;2
Landi, Sandro;Rouchon, Olivier;2
Boutier, Jean;Marin, Brigitte;2
Boutier, Jean;Rouchon, Olivier;2
Boutier, Jean;Landi, Sandro;2
Canziani, Guido;la collaboration de Marialuisa Baldi, avec;2
Canziani, Guido;Paganini, Gianni;2
Paganini, Gianni;la collaboration de Marialuisa Baldi, avec;2
Marin, Brigitte;Romano, Antonella;2
Boutier, Jean;Romano, Antonella;2
Jordheim, Helge;Régent-Susini, Anne;2
Mougin, Mathilde;Porte, Emmanuel;2
Martineau, France;Tremblay, Mireille;2
Caude, Élisabeth;Saule, Béatrix;2
Grésillon, Almuth;Lebrave, Jean-Louis;2
Barthélémy, Tiphaine;Couroucli, Maria;2
Brizon, Claire;Lee, Chonja;2
Wismer, Étienne;Étienne, Noémie;2
Keen, Catherine;Midgley, David;2
Emden, Christian;Midgley, David;2
Emden, Christian;Keen, Catherine;2
Gleckner, Robert F.;Pfau, Thomas;2
Bourassa, Yves;Landry, Alexandre;2
Miglioli, Nathalie;Ouellet, Pierre-Olivier;2
Lee, Chonja;Étienne, Noémie;2
Brizon, Claire;Étienne, Noémie;2
Coutelet, Nathalie;Moindrot, Isabelle;2
Martin, Roxane;Nordera, Marina;2
Biron, Michel;Popovic, Pierre;2
Martineau, France;Mougeon, Raymond;2
Brizon, Claire;Wismer, Étienne;2
Bourassa, Yves;Laquerre, Marie-Lise;2
Léger, Pierre;Porte, Emmanuel;2
Bernard, Mathias;Caron, Jean-Claude;2
Léger, Pierre;Mougin, Mathilde;2
Carmona, Ilona;Porte, Emmanuel;2
Carmona, Ilona;Mougin, Mathilde;2
Carmona, Ilona;Léger, Pierre;2
Bordes, Laura;Porte, Emmanuel;2
Bordes, Laura;Mougin, Mathilde;2
Dotoli, Giovanni;Selvaggio, Mario;2
Bernard, Mathias;Bourdin, Philippe;2
Lee, Chonja;Wismer, Étienne;2
Louvat-Molozay, Bénédicte;Salaün, Franck;2
Laquerre, Marie-Lise;Massé, Stéphanie;2
Landry, Alexandre;Massé, Stéphanie;2
Landry, Alexandre;Laquerre, Marie-Lise;2
Bordes, Laura;Léger, Pierre;2
Bordes, Laura;Carmona, Ilona;2
Bourassa, Yves;Massé, Stéphanie;2
Candaux, Jean-Daniel;Cernuschi, Alain;2
Bouvier, Béatrice;Leniaud, Jean-Michel;2
Forment, Lise;Pocquet, Tiphaine;2
van Dijk, Suzan;van Oostrum, Pim;2
Parejo, Ramón Pérez;Vázquez, José Soto;2
Hoagwood, T.;Watkins, D.;2
Parejo, Ramón Pérez;Vetters, Carl;2
Brouard-Arends, Isabelle;Plagnol-Diéval, Marie-Emmanuelle;2
Abramovici, Jean-Christophe;Vázquez, Lydia;2
Brot, Muriel;Fauvergue, Claire;2
Vetters, Carl;Vázquez, José Soto;2
Coekelberghs, Denis;Loze, Pierre;2
Escudero, Xavier;Vázquez, José Soto;2
Doyle, William;Haydon, Colin;2
van Dijk, Suzan;van der Meulen, Janet;2
van Oostrum, Pim;van der Meulen, Janet;2
Broomans, Petra;van Dijk, Suzan;2
Broomans, Petra;van Oostrum, Pim;2
Broomans, Petra;van der Meulen, Janet;2
Augeron, Mickaël;Havard, Gilles;2
Escudero, Xavier;Vetters, Carl;2
Escudero, Xavier;Parejo, Ramón Pérez;2
Forment, Lise;Stambul, Léo;2
Bel, Jacqueline;Parejo, Ramón Pérez;2
Malone, Kelly;Mansfield, Elizabeth C.;2
Jeanneret, Sylvie;Rizek, Martin;2
Ferret, Olivier;Mercier-Faivre, Anne-Marie;2
Hemmings, T.D.;Meakin, D.;2
Poirson, Martial;Schifano, Laurence;2
Bel, Jacqueline;Devaux, Jean;2
Bel, Jacqueline;Escudero, Xavier;2
Bel, Jacqueline;Vázquez, José Soto;2
Devaux, Jean;Vetters, Carl;2
Bel, Jacqueline;Vetters, Carl;2
Devaux, Jean;Escudero, Xavier;2
