Source;Target;Weight
Fazio, Mario;Santis, Vincenzo De;27
Fink, Beatrice;Stenger, Gerhardt;26
Marx, Jacques;der Schueren, Éric Van;26
Desroussilles, François Dupuigrenet;Jolly, Claude;26
Desroussilles, François Dupuigrenet;Varry, Dominique;26
Jolly, Claude;Varry, Dominique;26
Perrin, Jean-François;Stewart, Philip;26
der Schueren, Éric Van;van Crugten-André, Valérie;26
Marx, Jacques;van Crugten-André, Valérie;26
Couvreur, Manuel;Marx, Jacques;26
Couvreur, Manuel;van Crugten-André, Valérie;26
Couvreur, Manuel;der Schueren, Éric Van;26
Galland, Caroline;Guittienne-Mürger, Valérie;26
Basch, Sophie;van Crugten-André, Valérie;26
Castioni, Barbara Selmeci;Lojkine, Stéphane;26
Lojkine, Stéphane;Paschoud, Adrien;26
Basch, Sophie;der Schueren, Éric Van;26
Basch, Sophie;Marx, Jacques;26
Parent-Charon, Annie;Varry, Dominique;26
Deniel-Ternant, Myriam;Guittienne-Mürger, Valérie;26
Basch, Sophie;Couvreur, Manuel;26
Desjardins, Lucie;Moser-Verrey, Monique;26
Aron, Paul;Basch, Sophie;26
Desjardins, Lucie;Turbide, Chantal;26
Barbier, Frédéric;Parent-Charon, Annie;26
Barbier, Frédéric;Desroussilles, François Dupuigrenet;26
Moser-Verrey, Monique;Turbide, Chantal;26
Hersant, Marc;Jomand-Baudry, Régine;26
Deniel-Ternant, Myriam;Galland, Caroline;26
Aron, Paul;der Schueren, Éric Van;26
Aron, Paul;Marx, Jacques;26
Barbier, Frédéric;Jolly, Claude;26
Desroussilles, François Dupuigrenet;Parent-Charon, Annie;26
Aron, Paul;van Crugten-André, Valérie;26
Jolly, Claude;Parent-Charon, Annie;26
Andurand, Olivier;Deniel-Ternant, Myriam;26
Andurand, Olivier;Galland, Caroline;26
Andurand, Olivier;Guittienne-Mürger, Valérie;26
Aron, Paul;Couvreur, Manuel;26
Mazouer, Charles;Quéro, Dominique;25
Porret, Michel;Salvi, Élisabeth;25
Goubier, Geneviève;Lojkine, Stéphane;25
Citton, Yves;Perrin, Jean-François;25
Seth, Catriona;Wauters, Éric;25
Pavy-Guilbert, Élise;Poulet, Françoise;25
Mortier, Roland;Trousson, Raymond;25
Juratic, Sabine;Varry, Dominique;24
Lüsebrink, Hans-Jürgen;Mix, York-Gothart;24
Barbier, Frédéric;Juratic, Sabine;24
Cointre, Annie;Rivara, Annie;24
Sáez, María Isabel Corbí;Tonda, María Ángeles Llorca;24
Calafat, Guillaume;Ulbert, Jörg;24
Calafat, Guillaume;Grenet, Mathieu;24
Bartolomei, Arnaud;Ulbert, Jörg;24
Bartolomei, Arnaud;Grenet, Mathieu;24
Bartolomei, Arnaud;Calafat, Guillaume;24
Grenet, Mathieu;Ulbert, Jörg;24
Charles, Sébastien;Pujol, Stéphane;24
Bercegol, Fabienne;Genand, Stéphanie;24
Bercegol, Fabienne;Lotterie, Florence;24
Genand, Stéphanie;Lotterie, Florence;24
Méricam-Bourdet, Myrtille;Volpilhac-Auger, Catherine;24
Notter, Annick;Noël, Érick;24
Cessac, Catherine;Couvreur, Manuel;23
Ramos, Ángeles Sirvent;Tonda, María Ángeles Llorca;23
Arnoul, Élisabeth;Bardet, Jean-Pierre;23
Arnoul, Élisabeth;Ruggiu, François-Joseph;23
Brandli, Fabrice;Cicchini, Marco;23
Ramos, Ángeles Sirvent;Sáez, María Isabel Corbí;23
