;coeditor1;coeditor2;count
3796;Chantal, Thomas;Mercier, Anne-Marie;29
225;Bardet, Jean-Pierre;Ruggiu, François-Joseph;28
1152;Bournonville, Coralie;Duflo, Colas;28
4481;Almaric, Jean-Pierre;Suau, Bernadette;28
2148;Démoris, René;Lafon, Henri;28
4482;Olivier, Jean-Marc;Suau, Bernadette;28
4483;Almaric, Jean-Pierre;Olivier, Jean-Marc;28
3787;Menant, Sylvain;Quéro, Dominique;27
2744;Germani, Ian;Swales, Robin;27
719;Berchtold, Jacques;Séité, Yannick;27
2514;Frantz, Pierre;Santis, Vincenzo De;27
3588;Castioni, Barbara Selmeci;Paschoud, Adrien;27
2512;Fazio, Mario;Frantz, Pierre;27
2513;Fazio, Mario;Santis, Vincenzo De;27
2567;Fink, Beatrice;Stenger, Gerhardt;26
4927;Marx, Jacques;der Schueren, Éric Van;26
431;Desroussilles, François Dupuigrenet;Jolly, Claude;26
432;Desroussilles, François Dupuigrenet;Varry, Dominique;26
433;Jolly, Claude;Varry, Dominique;26
4073;Perrin, Jean-François;Stewart, Philip;26
4929;der Schueren, Éric Van;van Crugten-André, Valérie;26
4928;Marx, Jacques;van Crugten-André, Valérie;26
4924;Couvreur, Manuel;Marx, Jacques;26
4926;Couvreur, Manuel;van Crugten-André, Valérie;26
4925;Couvreur, Manuel;der Schueren, Éric Van;26
152;Galland, Caroline;Guittienne-Mürger, Valérie;26
4923;Basch, Sophie;van Crugten-André, Valérie;26
3587;Castioni, Barbara Selmeci;Lojkine, Stéphane;26
3586;Lojkine, Stéphane;Paschoud, Adrien;26
4922;Basch, Sophie;der Schueren, Éric Van;26
4921;Basch, Sophie;Marx, Jacques;26
430;Parent-Charon, Annie;Varry, Dominique;26
151;Deniel-Ternant, Myriam;Guittienne-Mürger, Valérie;26
4920;Basch, Sophie;Couvreur, Manuel;26
3899;Desjardins, Lucie;Moser-Verrey, Monique;26
4915;Aron, Paul;Basch, Sophie;26
3901;Desjardins, Lucie;Turbide, Chantal;26
424;Barbier, Frédéric;Parent-Charon, Annie;26
425;Barbier, Frédéric;Desroussilles, François Dupuigrenet;26
3900;Moser-Verrey, Monique;Turbide, Chantal;26
3060;Hersant, Marc;Jomand-Baudry, Régine;26
150;Deniel-Ternant, Myriam;Galland, Caroline;26
4918;Aron, Paul;der Schueren, Éric Van;26
4917;Aron, Paul;Marx, Jacques;26
426;Barbier, Frédéric;Jolly, Claude;26
428;Desroussilles, François Dupuigrenet;Parent-Charon, Annie;26
4919;Aron, Paul;van Crugten-André, Valérie;26
429;Jolly, Claude;Parent-Charon, Annie;26
147;Andurand, Olivier;Deniel-Ternant, Myriam;26
148;Andurand, Olivier;Galland, Caroline;26
149;Andurand, Olivier;Guittienne-Mürger, Valérie;26
4916;Aron, Paul;Couvreur, Manuel;26
3755;Mazouer, Charles;Quéro, Dominique;25
4165;Porret, Michel;Salvi, Élisabeth;25
2830;Goubier, Geneviève;Lojkine, Stéphane;25
1707;Citton, Yves;Perrin, Jean-François;25
4411;Seth, Catriona;Wauters, Éric;25
4054;Pavy-Guilbert, Élise;Poulet, Françoise;25
3897;Mortier, Roland;Trousson, Raymond;25
438;Juratic, Sabine;Varry, Dominique;24
3621;Lüsebrink, Hans-Jürgen;Mix, York-Gothart;24
437;Barbier, Frédéric;Juratic, Sabine;24
1760;Cointre, Annie;Rivara, Annie;24
4447;Sáez, María Isabel Corbí;Tonda, María Ángeles Llorca;24
513;Calafat, Guillaume;Ulbert, Jörg;24
512;Calafat, Guillaume;Grenet, Mathieu;24
511;Bartolomei, Arnaud;Ulbert, Jörg;24
510;Bartolomei, Arnaud;Grenet, Mathieu;24
509;Bartolomei, Arnaud;Calafat, Guillaume;24
514;Grenet, Mathieu;Ulbert, Jörg;24
1607;Charles, Sébastien;Pujol, Stéphane;24
704;Bercegol, Fabienne;Genand, Stéphanie;24
705;Bercegol, Fabienne;Lotterie, Florence;24
706;Genand, Stéphanie;Lotterie, Florence;24
3797;Méricam-Bourdet, Myrtille;Volpilhac-Auger, Catherine;24
3983;Notter, Annick;Noël, Érick;24
4195;Cessac, Catherine;Couvreur, Manuel;23
4823;Ramos, Ángeles Sirvent;Tonda, María Ángeles Llorca;23
223;Arnoul, Élisabeth;Bardet, Jean-Pierre;23
224;Arnoul, Élisabeth;Ruggiu, François-Joseph;23
1216;Brandli, Fabrice;Cicchini, Marco;23
4822;Ramos, Ángeles Sirvent;Sáez, María Isabel Corbí;23
4633;Viennot, Éliane;la collaboration de Nicole Pellegrin, avec;23
717;Berchtold, Jacques;Porret, Michel;23
1691;Chouillet, Anne-Marie;Crépel, Pierre;23
244;Astbury, Katherine;Plagnol-Diéval, Marie-Emmanuelle;23
4193;Couvreur, Manuel;Preyat, Fabrice;23
3627;Lüsebrink, Hans-Jürgen;Mollier, Jean-Yves;23
3352;Mortier, Roland;Moureau, François;23
3351;Knabe, Peter-Eckhard;Moureau, François;23
3350;Knabe, Peter-Eckhard;Mortier, Roland;23
4312;Roulin, Jean-Marie;Saminadayar-Perrin, Corinne;23
4194;Cessac, Catherine;Preyat, Fabrice;23
2486;Faggion, Lucien;Regina, Christophe;23
2561;Bouneau, Christophe;Figeac, Michel;23
4839;Chouillet, Anne-Marie;Coppola, Sylviane Albertan;23
4166;Porret, Michel;Testori, Olinda;23
3055;Rosset, François;la collaboration de Kris Peeters, avec;23
3047;Paschoud, Adrien;Rosset, François;22
2406;Dutray-Lecoin, Élise;Muzerelle, Danielle;22
2223;Negrel, Éric;Ruimi, Jennifer;22
627;Mothu, Alain;Porset, Charles;22
626;Becq, Annie;Mothu, Alain;22
3381;Krief, Huguette;Labarthe, Michèle Crogiez;22
625;Becq, Annie;Porset, Charles;22
3989;Mostefai, Ourida;O’Neal, John C.;22
858;Bourdin, Philippe;Serna, Pierre;22
3046;Paschoud, Adrien;Pelckmans, Paul;22
2222;Dhraïef, Beya;Ruimi, Jennifer;22
2221;Dhraïef, Beya;Negrel, Éric;22
370;Bahier-Porte, Christelle;Reguig, Delphine;22
3382;Flamarion, Édith;Krief, Huguette;22
834;Bessire, François;Reid, Martine;22
859;Leuwers, Hervé;Serna, Pierre;22
1126;Bourdin, Philippe;Loubinoux, Gérard;22
2776;Massé, Stéphanie;Rubellin, Françoise;22
